label,text
ham,What type of stuff do you sing?
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
ham,I cant pick the phone right now. Pls send a message
ham,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
ham,I love you both too :-)
ham,But we havent got da topic yet rite?
ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?"
ham,Can Ì_ all decide faster cos my sis going home liao..
ham,"ItÛ÷s reassuring, in this crazy world."
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
ham,Its sarcasm.. .nt scarcasim
ham,Would me smoking you out help us work through this difficult time
ham,Was the farm open?
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,Yeah imma come over cause jay wants to do some drugs
ham,Hahaha..use your brain dear
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... "
ham,Don no da:)whats you plan?
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,Wherre's my boytoy ? :-(
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
ham,Nope... C Ì_ then...
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.
ham,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
spam,88800 and 89034 are premium phone services call 08718711108
ham,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. "
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
ham,"Nothing really, just making sure everybody's up to speed"
ham,U're welcome... Caught u using broken english again...
ham,"Awesome, lemme know whenever you're around"
ham,If I die I want u to have all my stuffs.
ham,Do I? I thought I put it back in the box
ham,Nt yet chikku..simple habba..hw abt u?
ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
ham,It took Mr owl 3 licks
ham,R we still meeting 4 dinner tonight?
ham,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
ham,Ok i also wan 2 watch e 9 pm show...
ham,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... 
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,All will come alive.better correct any good looking figure there itself..
ham,"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. "
ham,Guess who spent all last night phasing in and out of the fourth dimension
ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
ham,Happy new years melody!
ham,Not a drop in the tank
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
ham,Good evening! How are you?
ham,Wife.how she knew the time of murder exactly
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,Bugis oso near wat... 
ham,I dont. Can you send it to me. Plus how's mode.
ham,Ok i msg u b4 i leave my house.
ham,Goodnight da thangam I really miss u dear.
ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
ham,I'll probably be by tomorrow (or even later tonight if something's going on)
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
ham,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u
ham,Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
ham,Ok... Let u noe when i leave my house.
ham,Package all your programs well
ham,\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtåÓbraindanceåÓa comp.ofstuff on aphexåÕs ;abel
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
ham,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne."
ham,Were gonna go get some tacos
ham," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
ham,K..k.:)congratulation ..
ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
ham,Ok lor. I'm in town now lei.
ham,"How about clothes, jewelry, and trips?"
ham,Are you there in room.
ham,I'll be at mu in like  &lt;#&gt;  seconds
ham,Gd luck 4 ur exams :-)
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
ham,Thats cool. i liked your photos. You are very sexy!
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
